Test_No,q,mu,x0,x1,qHat0,qHat1,a
1,281474976317441,281474977103871,303379748,281473912364672,308591034,258283196,NO_VALID
2,140737518764033,562949831786518,140735386277384,140736148297314,258283196,3450204723,NO_VALID
3,140737470791681,562950023675908,112818957,1189058957,3450204723,132010366,NO_VALID
4,140737513783297,562949851709454,140736167052388,140735470064145,132010366,24652872,NO_VALID
5,140737471578113,562950020530179,15983361,114806029,24652872,2149973480,NO_VALID
6,140737513259009,562949853806605,992211318,512609597,2149973480,433322714,NO_VALID
7,140737471971329,562950018957315,1993627629,1177417612,433322714,3652096167,NO_VALID
8,140737509851137,562949867438089,2097015289,140736983934149,3652096167,764201214,NO_VALID
9,140737480359937,562949985402877,140737025246402,140736792220327,764201214,5689591879,NO_VALID
10,140737509457921,562949869010952,1924134885,140736323416694,5689591879,813567193,NO_VALID
11,140737481801729,562949979635709,140735514859023,1206705039,813567193,846283951,NO_VALID
12,140737508671489,562949872156679,2033215986,140737056380621,846283951,5271487345,NO_VALID
13,140737482981377,562949974917116,140737303182053,140737014419138,5271487345,976461618,NO_VALID
14,140737506705409,562949880020997,777537884,140736908896444,976461618,777278361,NO_VALID
15,140737483898881,562949971247100,140735734569002,140736204056162,777278361,4219480308,NO_VALID
16,140737504608257,562949888409603,140736162390626,91457290,4219480308,731601384,NO_VALID
17,140737484685313,562949968101372,140736429499005,274997536,731601384,4955719319,NO_VALID
18,140737499496449,562949908856831,1433945514,140736651775132,4955719319,2624635693,NO_VALID
19,140737485864961,562949963382780,140736608747155,140735507970064,2624635693,2889449562,NO_VALID
20,140737493729281,562949931925500,140735448496140,140736034362962,2889449562,1385626782,NO_VALID
21,140737486520321,562949960761340,899669355,140737135651538,1385626782,1180662927,NO_VALID
22,140737490976769,562949942935548,140735356553729,140736803520173,1180662927,1374407730,NO_VALID
23,140737487306753,562949957615612,251652381,140737085010636,1374407730,326170516,NO_VALID
24,140737488486401,562949952897020,293882147,84501770,326170516,8397263039,NO_VALID
25,281474975662081,281474977759231,281474532313801,281473336822843,8397263039,1902705956,NO_VALID
26,281474974482433,281474978938879,2036907506,1160667530,1902705956,6590153662,NO_VALID
27,281474966880257,281474986541055,549761857,281474655925463,6590153662,4642077150,89033308041712
28,281474962554881,281474990866431,1008792440,281473993282184,4642077150,4147861211,28852618477822
29,281474960326657,281474993094655,1975848427,1526883766,4147861211,1758436513,14482251968212
30,281474957180929,281474996240384,1665923526,1460999086,1758436513,4433433839,110260497700496
31,281474955476993,281474997944320,281474435187387,353361194,4433433839,2510658626,88953355807284
32,281474952462337,281475000958977,281472951491082,281473802944112,2510658626,308591034,111117660817283
